username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,locals_vs_diaspora,person_vs_organization,comments
adnanime,https://x.com/adnanime,Animation Digital Network,"Evangelion, Utena, Sailor Moon... c'est Noël avant l'heure",Paris,,676.0,1315.0,September 2013,2,,1,anime fan page
ahwazmedia,https://x.com/ahwazmedia,حسن راضي الأحوازي,مدير المركز الأحوازي للإعلام والدراسات الإستراتيجية/ باحث بالشان الايراني، معد ومقدم برنامج #ايران_زووم على قناة @سعودي24.. #الأحواز وطني,,5884.0,415.0,8467.0,April 2012,0,,1,man with no connect to iran
allipayam,https://x.com/allipayam,Hani Allipayam,,,36.0,19.0,1.0,November 2017,0,,1,no info
ajbends,https://x.com/ajbends,big boy synthetique,@issues  //  @badwolves  // FEWDFWM //,"Pasadena, CA",,1286.0,1350.0,December 2011,0,,1,man from Pasadena
alisaberi1987,https://x.com/alisaberi1987,Alex,All religions are human made. Be free of them. Keep your humanity up and spread out kindness.,"Paris, France",469.0,1634.0,633.0,October 2021,0,,1,man from paris
altaf_awan12,https://x.com/altaf_awan12,Altaf K Awan,"Consultant Pancreaticobiliary, Obesity, Laparoscopic and Robotic Surgeon, UHDBTrust. Director of Education - Laparoscopic & Robotic surgery, ALSGBI.","Derby, England",1054.0,451.0,1803.0,November 2018,0,,1,man from england
aliansari84,https://x.com/aliansari84,Ali Ansari,"Ph.D. graduate in Materials Science and Engineering, Interested in batteriesand electrochemistry, Posts in Persian and in English, Notifications are off.","Prague, Czech Republic",742.0,1928.0,1334.0,December 2013,0,,1,man from prague
alimotie1318,https://x.com/alimotie1318,Parsi,"lran, land of Aryans and Everlasting Kingdom",,160.0,753.0,4588.0,June 2025,2,,2,no info 
aesdigitallyart,https://x.com/aesdigitallyart,Aes Digitally Art Prints,"Greetings! I'm Serdar. I'm the founder of this small shop, born from the question: 'Why shouldn't everyone have easy access to striking art pieces?",Turkey,29.0,333.0,32.0,November 2025,2,,0,art page
5thprisoner,https://x.com/5thprisoner,زندانی پنجم,پیش ما بیا خوش میگذره,,6351.0,265.0,,July 2016,2,,1,"arabic , but not personal info"
ali_koleini,https://x.com/ali_koleini,paper_jean,,Islamic Republic of Iran,89.0,0.0,339.0,June 2020,2,,2,no info
ahmadrezae88890,https://x.com/ahmadrezae88890,ahmadreza emz,,,8.0,4.0,58.0,June 2024,2,,2,no info
_articlle_,https://x.com/_articlle_,お父さん,はむさんはこちら  @hamuppi_,,8556.0,803.0,780.0,August 2018,2,,2,no info
1dish4theroad,https://x.com/1dish4theroad,Aaron Vallance,'Friday Night Chicken' - due 2027!  Shortlisted for Jane Grigson Trust award 2025. My blog (shortlisted Guild Food Writers award '20 '21 '23).,"London, England",5435.0,3587.0,2327.0,May 2016,0,,1,man from london
alexvizorek,https://x.com/alexvizorek,Alex Vizorek,"Humoriste belge...(c'est déjà drôle comme locution, je crois) Sur scène surtout, sur  @RTLFrance  et  @telematin  parfois, ailleurs occasionnellement.",,,2657.0,1381.0,January 2010,0,,1,man from france
aicalliance_,https://x.com/aicalliance_,AICA - Australian Iranian Community Alliance,Group of passionate Iranian Australians committed to shedding light on the glaring violations of fundamental human rights perpetrated by the Islamic Republic.,Australia,80.0,67.0,272.0,June 2023,1,0,0,iran community from Australia
ahlulbayt28,https://x.com/ahlulbayt28,خادمة الحُسين💚⚑,-أشهَدُ أنَ علياً وَليُ الله . -نِذَرت لخِدمَة حسين عمري . -السَلامُ على آلِ بَيتِ رَسولِ الله . -السَلامُ عَليكَ يا أبا عبدِالله الحُسَين.,حَيثُ الحُسَين وَ العَبَاس,,276.0,1318.0,July 2020,2,,2,"arabic page, unknown"
30nahejazi,https://x.com/30nahejazi,Sina Hejazi,Iranian singer,Islamic Republic of Iran,4400.0,16.0,297.0,April 2013,0,,2,said singer but no info on him
abdulsalamdoct,https://x.com/abdulsalamdoct,محمد المعمري,يمني يبحث عن وطن.!,اليمن,6.0,118.0,253.0,June 2025,2,,2,no info
ajplus,https://x.com/ajplus,AJ+,"AJ+ is a unique digital news and storytelling project promoting human rights and equality, holding power to account, and amplifying the voices of the powerless.","Washington, DC",,247.0,1357.0,February 2010,0,,0,support arabic page from DC
110_m_ah_b,https://x.com/110_m_ah_b,A.B.110,,,0.0,7.0,3.0,October 2024,0,,1,no info
32kennocha,https://x.com/32kennocha,Isis,Every moment is a fresh beginning.,"Buffalo, NY.",345.0,472.0,458.0,June 2013,2,,2,no info
abc7ny,https://x.com/abc7ny,Eyewitness News,"New York's #1 news, Channel 7 Eyewitness News. WABC-TV. Comments & photos shared here or using #abc7NY could be used on any ABC platforms.",New York City,,725.0,6158.0,October 2008,0,,1,"new york , news page"
alexerventure,https://x.com/alexerventure,alexerventure,Entrepreneur,,446.0,6254.0,932.0,March 2008,0,,2,
agencecapa,https://x.com/agencecapa,CAPA,"Témoigner, décrypter, faire rêver, inventer : depuis plus de 30 ans, CAPA raconte le monde... avec un pas de côté. #CAPApresse #CAPAdrama  @CAPAcorporate","Paris, France",7920.0,612.0,5264.0,August 2009,0,,0,
_rosemark,https://x.com/_rosemark,Wolfy,So Vrémant po Nice,,8.0,127.0,482.0,December 2019,2,,2,
alanwake,https://x.com/alanwake,Alan Wake 2,"Alan Wake 2 out now on the Epic Games Store, PS5, and Xbox Series X|S. By  @remedygames , presented by  @EpicPublishing . Alan Wake Remastered available now.",Bright Falls,,16.0,1465.0,March 2009,0,,0,
alcides,https://x.com/alcides,Alcides Fonseca,Typing types. Associate Professor at the University of Lisbon.,"Lisbon, Portugal",1893.0,2921.0,2203.0,April 2007,0,,1,
aliaref_,https://x.com/aliaref_,ali aref 🇮🇷,ما سر به سر فدایی دین محمدیم...ما را حسین خواند و به این لشکر آمدیم,,508.0,646.0,1334.0,April 2024,1,2,1,
afghanlgbt,https://x.com/afghanlgbt,Afghan LGBT Organization (ALO),The first official organization for Afghan #LGBTQ+ people based in Czech Republic,Česká republika & Afghanistan,1190.0,401.0,216.0,June 2020,0,,0,
abasinfo,https://x.com/abasinfo,Abas Aslani | عباس اصلانی,عباس اصلانی | صفحه فارسی |خبرنگار و پژوهشگر در حوزه سیاست خارجی و بین‌الملل   | صفحه انگلیسی (English account):  @AbasAslani,تهران,1213.0,505.0,2528.0,July 2016,1,1,1,
almghdmi,https://x.com/almghdmi,Ali,"Developer, Gamer",,119.0,235.0,,April 2022,0,,1,
abdolrezakahani,https://x.com/abdolrezakahani,Abdolreza Kahani,"Writer,Director,Producer //  agiff.arkgate.ca",,,299.0,247.0,June 2014,0,,1,
alanciwanc41267,https://x.com/alanciwanc41267,alanciwan ciwan,,,33.0,2281.0,1.0,January 2025,2,,2,
