username,display_name,description,location,followers_count,following_count,statuses_count,created_at,person_vs_organization,comments
abdullahsa83137,King Rahimzoy,,,1.0,17.0,14.0,December 2025,1,afghan dari account
abolfazl20_06,ابوالفضل,,,0.0,31.0,11.0,June 2024,2,private account
adriyanari3843,Adriyan Ariya,,,0.0,20.0,17.0,November 2025,1,iranian anti-regime account
al3151644276727,Al,,,1.0,34.0,18.0,September 2023,2,no content undetermined
aghplt,Ali Gholhaki,journalist | ثبت است بر جریده عالم دوام ما,هرجا که باید,0.0,3259.0,9934.0,January 2020,1,iranian journalist
abdul_majid33,عبـدالمـجید خرقـانی 🇮🇷,طلبهٔ پیرو خط ولایت || مُنتَظر || کارشناس ارشد تاریخ تحلیلی اسلام,طِ‌حرٰان,0.0,4650.0,3757.0,May 2020,1,pro-regime tehran account
2088sajad24892,Sajad,,,5.0,39.0,53.0,December 2024,2,no content undetermined
3tareee,سه تا رِ,من بد دهن‌تر از چیزی‌ام که از توئیتام به نظر میرسه ولی حالا باز خود دانی!,شهری عاری از مونوگامی,1206.0,212.0,0.0,May 2016,1,iranian opposition berlin
alirezashayest1,Alireza Shayesteh,Fitelz,Antarctica,858.0,1990.0,0.0,November 2015,1,iranian cinema account
adnanaltia,عدنان الطائي,"Host of the ""Tell the Truth"" Program","Istanbul, Turkey",0.0,469.0,7109.0,November 2015,1,iraqi tv host
alihamid27,Ali Hamid,Documentary Filmmaker/ @manototv,United Kingdom,0.0,438.0,7790.0,December 2017,1,iranian khuzestani uk
alihoseini692,Ali Hoseini,اخلاق نیک ؛ کردار نیک ؛ پندار نیک,مشهد مقدس ایران,6.0,107.0,4.0,January 2020,1,iranian personal mashhad
algroonahmed,أحمد القرون,ما دامَ في السمّاء من يحميك، فَليسَ في الأرض من يكسرك.,Al Khobar,0.0,1091.0,1381.0,March 2015,1,saudi personal account
ajibzade,عجیب زاده,از خودم که می گذشتم بالغ بودم. از آن پس را به خاطر ندارم,دار العجائب,0.0,575.0,1356.0,April 2016,1,iranian opposition account
ahmadabdulsada,احمد عبد السادة,شاعر وكاتب وصحفي عراقي,Iraq,0.0,289.0,4050.0,June 2016,1,iraqi poet journalist
abdullahagar2,Abdullah Ağar,"Gazi/Yazar/Güney Doğu, Orta Doğu, Balkanlar ve Kafkaslar'da görev. 9 Kitap.","Ankara, Türkiye",0.0,1259.0,3808.0,April 2016,1,turkish military writer
2ndravanparish,روانپریش دوم درب اول,منو آنفالو نکن عنتر ب.آ بزن / CG Artist & Web Designer,"Dubai, UAE",0.0,35.0,5587.0,December 2018,2,suspended account
aliebrahimzade_,Ali Ebrahimzadeh,General Contractor #زندگی_نرمال #ایجاد_شرمساری 0018182017068,"California, USA",0.0,731.0,1364.0,April 2015,1,iranian diaspora california
abdulqa15628102,ABDUL QADIR,,Allahabad India,7.0,91.0,82.0,November 2016,1,indian personal account
aekbcgr,AEK BC,Επίσημο X της ΑΕΚ BC - Official AEK BC X Account,"Athens, Greece",0.0,87.0,1315.0,January 2015,0,greek basketball club
ali_shahoum,Ali,newOne,Islamic Republic of Iran,9.0,190.0,14.0,November 2016,1,private located iran
677krzych,Wojtek,,"Warszawa, Polska",146.0,807.0,9241.0,June 2019,1,polish political account
