username,display_name,description,location,followers_count,following_count,statuses_count,created_at,person_vs_organization,comments
afsheenmoosavi,Afsheen Moosavi,Multimedia Journalist  @manototv,"London, England",326.0,106.0,73.0,September 2020,1,irani medai person
akshayk11339456,akshay kumar,पंडितो ka शान शौकत और वफ़ा को देखकर छोरियां bhi कहती है ना दर्द चाही ना दर्द की दवा चाही हमें तो पंडित जैसा यार चाही jai parshu ram.akshay ब्राह्मण,,1.0,98.0,47.0,June 2023,1,hindi personn
alimojtahedzad3,ali mojtahedzadeh,سيد علي مجتهدزاده وكيل دادگستری| آدرس کانال تلگرام  t.me/alimojtahedzade:,,0.0,288.0,8483.0,July 2019,1,police force in iran
akhavanbahar,Bahar Akhavan,دغدغه، فردای روز آزادی‌ست! (سیاست خوانده، علاقه‌مند به فلسفه),"Stockholm, Sweden",89.0,227.0,81.0,January 2024,1,"irani, diaspora"
aliiorgi,✪ALI✪,او میکشد قلاب را...,Bu,722.0,746.0,7052.0,September 2024,1,"irani, diaspora"
alijumadaaltha,The Uncovering Journal,Brings you from the darkness towards the light,in God's Earth,47.0,207.0,20.0,July 2022,2,not enough info
_agentfootball,Agent Football,OFFICIAL FOOTBALL AGENTS - CORPORATE NETWORK LTD,"London, England",3.0,75.0,3.0,September 2022,0,
_ya_karim_,səs siz,‌یازیرام، دۆزدۆ قاتیل_ قاتیلمییرسان آتیل_یانلیش دی دۆزۆن یاز | بیربئلهروانپریش,Güney Azərbaycan,532.0,436.0,0.0,December 2023,2,
afsharmog,افشار مقدم,دارای فاز هنری    instagram.com/afsharmoghaddam,,3726.0,192.0,9288.0,March 2019,1,Irani
aban_paris,paris.aban,چيزى براى گفتن ندارم، ميخوام بشنوم,,138.0,264.0,0.0,November 2019,2,Blocked Profile
ali94185358,Ali,Wanted to gay marriage,,8.0,62.0,3.0,October 2019,1,No info
alirezaketabch3,alirezaketabchi,Nor bar tariki piroz khahad shod,,15.0,36.0,58.0,January 2020,1,No info
abilovafzalshoh,Afzalshoh Abilov,Interventional Cardiologist,Tajikistan,4.0,98.0,33.0,September 2019,1,
agriculture666,Agriculture Music,Ecstatic Black Metal,Los Angeles,2293.0,54.0,802.0,May 2022,0,Band
ali_cheshomi,علی چشمی,استادیار گروه اقتصاد دانشگاه فردوسی مشهد,,4919.0,202.0,1651.0,September 2016,1,Irani Teacher
ak_rogue_,𓆩AkrΩguE𓆪,/هی میبرم هی میدوزم/موسیقی/بازی/فیلم/,NeverLand,9.0,51.0,132.0,May 2020,2,no info
_mehrabooon,مهربوون,متعهد به عشق جان,آنجا که دل خوش است,2336.0,2501.0,1681.0,January 2021,1,Irani Person
aidanajra,delusional king,تا زمانیکه درآمدهای میلیون دلاری و بدون ریسک ، به بهانه فعالیت سیاسی ، برقرارهست ، کمپانی های سطل عن طلب مانع اتحاد مردم و سرنگونی جمهوری اسلامی خواهندشد,,276.0,233.0,7154.0,March 2024,1,irani political person
allytheluminus,Vicar~keepitDoPe🥂,Spontaneously hilarious/mwana waMwari/hala madrid,"Harare, Zimbabwe",41.0,256.0,33.0,November 2023,1,Zimbabowe
achaharmahaliy,Atefeh Chaharmahaliayan,"آتفه چهارمحالیان  Poet, writer, and human rights activist For me, literature is a necessity of intervention","Hamburg, Germany",112.0,163.0,7.0,April 2025,1,Germany
5y6aahcdftzn4me,پرنسس,دلخوشی ها کم‌نیست، دیده ها، نابیناست..‌.,,26.0,10.0,125.0,December 2020,2,Not enoguh info
ahmadrezakzmi,احمدرضا کاظمی,نویسنده، کمدین و طنزنویس سابق مطبوعات,,0.0,278.0,2805.0,November 2014,1,Parsi
a_bindoff,A Bindoff,(The Dark Blue Bird by Edward Lear),,236.0,598.0,7723.0,September 2015,0,"organization page, in english"
alexsteeleopal,Alex Steele,"founder & ceo of opal (hiring, DMs open)",SF,986.0,228.0,486.0,June 2024,2,Block
akhgar_maryam,Maryam Akhgar,PhD candidate at  @unifau,"Erlangen, Germany",51.0,67.0,11.0,August 2021,1,German
abaerbockarchiv,Annalena Baerbock,Außenministerin a. D.,Berlin,0.0,114.0,1004.0,December 2021,1,Berlin
21molana,Amirhossein Molana,آنک بی‌باده کند جان مرا مست کجاست و آنک بیرون کند از جان و دلم دست کجاست  و آنک سوگند خورم جز به سر او نخورم و آنک سوگندِ من و توبه‌ام اشکست کجاست  حضرت مولانا,,0.0,1.0,0.0,April 2025,2,No info
abadguy000,🏴󠁧󠁢󠁥󠁮󠁧󠁿AlinnaKX87🇺🇲,"Freedom, Family and HF Electronics!!","Preston, England",278.0,639.0,2068.0,July 2020,1,"Parsi , against the iran govermant"
abbasalawadi6,ABBAS Alawadi,عٌآشُقُ عٌلَيَ آبًنِ آبيَ طِآلَبً,,109.0,641.0,138.0,March 2021,1,irani unknown location
aliziyak,Ali Ziya,علی ضیا,,0.0,90.0,6185.0,November 2018,1,american
allison61478051,Allison,Don’t even know what I’m doing here tbh,,2.0,10.0,5.0,June 2021,2,No info
abbasmowzoon,Abbas_Mowzoon,Researcher Author Director Producer,,0.0,0.0,390.0,April 2021,1,irani unknown location
0mfahzf4tebztdl,کلول,زندگی نکردم ولی فعلا زنده ام,,81.0,53.0,150.0,April 2021,2,not enough information
3eyedamir,SeyedAmir Sayyah,دغدغه محیط‌کسب‌وکار، کارآفرینی، شفافیت، عدالت رقابت، حقوق‌مالکیت، حاکمیت‌قانون و تنظیمگری فجازی در ایران. توئیتهام به هیچ شورا و مرکزی ربطی نَ  دا  رَد,,0.0,438.0,5587.0,January 2020,1,irani
ain4or,Jason Miller,Never understood anyone but then against all odds it's hard to understand me.,"West Union, IA",32.0,182.0,36.0,October 2022,0,organization English
a_sarkohi,Arash Sarkohi,Welcome to the Jungle! (here mostly in farsi),,2995.0,702.0,1854.0,October 2016,1,irani
aboodmatar17,aboodmatar,from Gaza .,,513.0,5502.0,444.0,June 2020,1,Gaza 
ajaykum78488191,Ajaykumar Singh,I am property dealer,,72.0,799.0,561.0,February 2021,0,indian
agudaojo,Dennise,May God bless my way,Africa,185.0,1173.0,34.0,April 2022,1,person from africa
all_kapped,.,⏁⊑⟒⍀⟒ ⏃⍀⟒ ⍜/⋏⌰⊬ ⏁⍙⍜ ☌⟒⋏⎅⟒⍀⌇,nowhere,111.0,2343.0,2790.0,February 2020,0,meme page
aboutmes7,تتو آرتیست,هر کاری میکنم برای براندازیخبررسانآگاهی دهنده,آزادی,0.0,193.0,7656.0,November 2021,1,parsi person
aframalhameli,Afra Al Hameli,Director of Strategic Communications  @MOFAUAE,Abu Dhabi,0.0,301.0,1939.0,October 2020,1,politic from abu dhabi
afcasiancup_ar,كأس آسيا,الصفحة الرسمية لكأس آسيا باللغة العربية,,0.0,33.0,1315.0,April 2014,0,Arabic page
aleborghi_,Alessandro Borghi,Ridete.,,0.0,208.0,1525.0,February 2012,0,movies page
amadei_paola,Paola Amadei,Ambasciatrice d’Italia in Iran. Personal views only. Follows and Retweets are not endorsement.,,162.0,28.0,3.0,June 2014,0,fashion page
54hz_whale,54hzwhale,Gamification Enthusiast Crypto Enthusiast,,59.0,1363.0,55.0,November 2021,0,crypto page
abdullahmohtadi,Abdullah Mohtadi,Secretary General of the Komala Party of Iranian Kurdistan,,0.0,430.0,647.0,January 2012,1,iran
ahmadnaderi_ir,احمد نادری,● دانشیار دانشگاه تهران● نماینده مردم ایران از حوزه انتخابیه تهران، ری،شمیرانات،اسلامشهر وپردیس در مجالس یازدهم و دوازدهم● عضو هیات رئیسه مجلس,,0.0,391.0,2452.0,February 2020,1,person from iran
1573cigars,1573 Cigars,Exclusive U.K. Distributor of Foundation Cigar Company.,,649.0,10.0,3.0,October 2023,0,Cigar company
alihars6,سبزی پلو با ماهی,برای آزادی,,155.0,304.0,183.0,October 2021,1,iran person
ajdarbekbosynov,Айдар Бекбосынов,"Живу, не тужу",,0.0,73.0,5.0,January 2022,2,no info 
a_z_im,Az_im,امنیتی نویس. امیدوار وطنم. ایران.,,0.0,1213.0,6145.0,March 2015,1,irani reporter
_aliemili_,Ali Emili,کد می‌نویسم، گیتار الکتریک میزنم، دو خط کتاب می‌خونم و فیلم و سریال می‌بینم، یه ورزشی‌ام می‌کنم و اینا، انگلیسی و آلمانی می‌خونم، اسم اینارو فعلا گذاشتم هویت.,,9.0,132.0,87.0,December 2025,1,persian personal account
404arsynotfound,Arsy,Living proof that sleep is optional.,,8.0,72.0,35.0,June 2022,1,persian personal account
alexpombo489762,Alex Pombo,"Conseiller en communication, Essayiste, Sociologue, Apôtre du numérique, Spécialiste du cinéma, Passionné d'histoire, Entrepreneur, Trader.",,224.0,4393.0,2385.0,February 2025,0,franch page
abofazlrajabi,Abolfazl Rajabi,"𝐂𝐢𝐧𝐞𝐦𝐚,𝐓𝐕 𝐀𝐂𝐓𝐎𝐑                                        𝗶𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺:𝗮𝗯𝗼𝗹𝗳𝗮𝘇𝗹𝗿𝗮𝗷𝗮𝗯𝗶𝗼𝗿𝗴𝗶𝗻𝗮𝗹",,1556.0,81.0,1065.0,January 2024,1,iranian tv act
90ndstoppage,90ndstoppage,Get the latest on #IndianFootball  here  | Business Queries / Contact (DM)  : stoppage90nd@gmail.com | FB & IG :  @90ndstoppage,,0.0,566.0,5593.0,September 2020,0,"football page , indian"
_iweni,🌚🤍,بُگذار گُم‌ شَوَم دَر تو ...,,80.0,370.0,96.0,May 2022,2,block
abn0029,N.P.L,"Les petites filles obéissantes vont au paradis, les autres vont ou elles veulent",Dimension,113.0,337.0,6157.0,October 2023,0,politic page
alibazdarian,Alibazdarian65,علی بازداریان  خیلی بی ریا و ساده,,168.0,1256.0,19.0,June 2022,1,iran personal account
alirezaw_77,Alireza Ejarestaghi,I ɴᴇᴇᴅ ᴀ ʙʀᴇᴀᴋ ғʀᴏᴍ ᴀʟʟ ᴛʜɪs ʙᴜʟʟsʜɪᴛ,,1.0,11.0,2.0,October 2022,1,no info
_iwftw,𐰯𐱃𐰢𐰚|فآطِمِ🎋,ایسته‌سن یاندیر یانماغا آلیشاریق کول اولوب یئنیدن دوغولاریق سونرا..,Təbrizli-,1216.0,819.0,4248.0,March 2023,2,block
afzalieli,Eli Afzali,هنرمند حامی محیط زیست و طبیعت,,1.0,8.0,5.0,October 2022,1,person from iran
al_bayynat2,شبكة البينات الثقافية (احتياطي),حساب احتياطي : #مقتطفات_خطابات_محاضرات_حوارات,Yemen,0.0,1.0,3055.0,June 2020,2,block
abas_asgharpour,abas asgharpour,شاعر و نویسنده,,65.0,62.0,160.0,September 2022,1,persian poet writer
alhumma,Al Humma,Application gestion de la communauté musulmane,Abidjan,0.0,7.0,0.0,December 2025,0,french muslim app
aishaguzma28258,Aisha Guzman,I’m strong I’ll never quit,"Rochester,mn",0.0,3.0,2.0,June 2023,1,woman from Rocher
abed33474966,Ab.Es,مانیا,,12.0,240.0,150.0,September 2022,1,against the goverment
aa51_ansari,Ali Ansari,Academic but not irrelevant,,7637.0,931.0,3221.0,November 2017,1,iranian history professor
abdulwadudkha12,Abdulwadud Khan,ليسانس فعلآ درافغانستان زندګي ميکونم,افغانستان,96.0,1443.0,13.0,October 2025,1,afgani person
abwlhbalhdathy,أبو لهب الحداثي,حفيد من أحفاد كفار ومشركي قريش,"Xanxerê, Brasil",10.0,207.0,83.0,April 2024,1,person from UEA
88sparber,Daniel Sparber,"1050 Wien, Jg 1988, sozial","Wien, Österreich",2.0,343.0,3.0,November 2023,2,block
_mriyim_,مریمم🦋,:)))),,131.0,114.0,1.0,April 2023,2,no info
ahqyqty18486,Amir Mahdi,Is loading...!,,6.0,51.0,1.0,June 2023,2,block
akhavan_mina,Mina Akhavan,,,0.0,6.0,0.0,June 2015,2,empty profile
alexbozmorty,Novak Djokovic Fans Australia,soccer fan,,3084.0,3193.0,1376.0,December 2013,0,football page
alikhani_reza,M.R.Alikhani,,,1.0,58.0,5.0,March 2015,1,"person , dispora"
a16zcrypto,a16z crypto,We back bold entrepreneurs building the next internet.  Posts are not investment advice or an advertisement for investment services. See  a16z.com/disclosures,,0.0,511.0,7127.0,June 2022,0,crypto page
433_uae2,عميد الرياضة,منصة رياضية إماراتية  تغطي الحدث محلياً وعالمياً,الامارات العربية المتحدة,0.0,178.0,5587.0,November 2020,0,football page
alimir43,ali mir,Freedom by the decision of God,,0.0,10.0,0.0,November 2023,1,irani from brazil
aalmalki_10,A,Abdulelah AL-MalKi 𓅓,,4.0,91.0,36.0,November 2023,2,block
2_ncqr,Cotton Headed Ninny Muggins,,,102.0,1586.0,287.0,March 2016,1,jew person
alrthaan21,فيصل الرثعآن,,,382.0,842.0,1057.0,July 2016,1,person for UEA
alireza4759,رضا,تکنیسین الکترونیک.فروش ونصب دوربینهای مداربسته و دزدگیر اماکن و سانترال تلفن.,,5.0,99.0,1732.0,February 2016,2,iran page
2017siyasi,Dr siyasi,,,206.0,306.0,6949.0,March 2017,2,parsi page
alahmdii9,Ahmed,,"Al Batinah, Oman",3.0,80.0,26.0,December 2019,2,no info
_____zhang____,Mr. Zhang Wei / credit manager SINOPAC BANK,= 永豐銀行 Bank SinoPac 士東分行 bank.sinopac.com/sinopacBT/en/i …  永丰金控有限公司 惠誉评级中的实体。全球资本市场的信用评级、研究和分析。SinoPac FinancialHoldings Limited,hong kong,5.0,208.0,2.0,May 2025,1,from chaina
ala_tre6,A.,گاهی آروم گاهی پرشور،حد وسط اینجا معنا ندارد,,0.0,50.0,8.0,May 2024,2,not enough info
