username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,locals_vs_diaspora,person_vs_organization,comments
advisorbecki,https://x.com/advisorbecki,"Rebecca Iacopelli, CFP®, MT","Helping women control and maximize their wealth  Senior Advisor at Barron’s Top 25 Firm  CFP®, Masters in Taxation  CFA Level III Candidate","Philadelphia, PA",10.0,27.0,56.0,June 2025,2,,2,Doesnt exist
a2bdullah_,https://x.com/a2bdullah_,Abdullah_AL lime,,,0.0,13.0,0.0,December 2025,2,,2,Bot? 
50uses,https://x.com/50uses,50 Uses For The Word Love Podcast,Comedian  @StephenTrumble  invites guests to chat about the varied multitudes of human feeling that in English all fall under the one umbrella term; Love.,"London, England",489.0,2753.0,396.0,January 2019,0,,0,American
a8484aviv,https://x.com/a8484aviv,אביב AVIV 🇮🇱,LIVE AND LET LIVE,ישראל,3028.0,7496.0,,June 2014,0,,0,Israeli
_starboy369,https://x.com/_starboy369,Starboy ⭐️,《دنیا همه هیچ و اهل دنیا همه هیچ، ای هیچ برای هیچ بر هیچ مپیچ》,Iran ☼𓃬,806.0,5214.0,3509.0,July 2022,1,1,1,irani
aliam_es,https://x.com/aliam_es,ایی اِس,صبر   instagram.com/ecutfood/profi …,,4324.0,4447.0,1334.0,November 2021,1,2,1,irani 
_infogirl,https://x.com/_infogirl,🌻hopeful wanderer🌻,"books, music, travel, nature, art",,59.0,665.0,290.0,November 2021,0,,1,
akumafeelings,https://x.com/akumafeelings,👹 AKUMA 👹,"eu minto muito bastante   (⁠◕⁠ᴗ⁠◕⁠✿⁠) mutual pra mim é irmã    ele/dele  filho do silêncio, da doença e da cura","Salvador, Brasil",5372.0,4139.0,1386.0,October 2016,0,,1,brazil
alfirinmag52045,https://x.com/alfirinmag52045,Magol Alfirin,I AM ...,,1.0,30.0,0.0,December 2025,2,,2,?>?
aiyankarimi3312,https://x.com/aiyankarimi3312,A_K70,"When you are there, all doors open.",کرمانشاه,55.0,394.0,1300.0,April 2025,1,1,1,irani
alivrd,https://x.com/alivrd,Ali Vafaei Razdar,,,0.0,2.0,0.0,August 2025,0,,1,
alishiri272750,https://x.com/alishiri272750,Ali Shiri,,tehran,0.0,5.0,0.0,July 2025,1,2,1,irani ?
al3mlaa81,https://x.com/al3mlaa81,د/العملاق,د / العملاق ..,,,167.0,1386.0,November 2012,0,,1,
aishaabbas20560,https://x.com/aishaabbas20560,Abbass Aisha,,,59.0,703.0,0.0,March 2025,0,,1,
