username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,locals_vs_diaspora,person_vs_organization,consensus_source,description_en,display_name_en
abu_al_askary,https://x.com/abu_al_askary,ابو علي العسكري,المسؤول الأمني لكتائب حزب الله في العراق,Iraq,2697.0,0.0,4.0,August 2023,2,2,2,auto_agree,The security official for Kataib Hezbollah in Iraq,Abu Ali Al-Askari
alietamedia,https://x.com/alietamedia,علی اعطا,‌کارشناسی‌ارشد پیوسته و دکتری معماری | عضو هیئت رییسه و سخنگوی شورای پنجم تهران | معمار | روزنامه‌نگار,Tehran,,1202.0,4615.0,October 2016,1,1,1,auto_agree,Master's degree and PhD in architecture Member of the Board of Directors and Spokesperson of the Fifth Council of Tehran Architect journalist,Ali granted
ajarabic,https://x.com/ajarabic,قناة الجزيرة,الجزيرة.. الرأي والرأي الآخر.. تابع أخبارنا العاجلة على  @AJABreaking,Qatar,,26.0,1349.0,April 2007,0,2,0,auto_agree,Al Jazeera... Opinion and other opinions... Follow our breaking news on @AJABreaking,Al Jazeera Channel
advisorbecki,https://x.com/advisorbecki,"Rebecca Iacopelli, CFP®, MT","Helping women control and maximize their wealth  Senior Advisor at Barron’s Top 25 Firm  CFP®, Masters in Taxation  CFA Level III Candidate","Philadelphia, PA",10.0,27.0,56.0,June 2025,2,2,2,auto_agree,"Helping women control and maximize their wealth  Senior Advisor at Barron’s Top 25 Firm  CFP®, Masters in Taxation  CFA Level III Candidate","Rebecca Iacopelli, CFP®, MT"
a2bdullah_,https://x.com/a2bdullah_,Abdullah_AL lime,,,0.0,13.0,0.0,December 2025,2,2,2,auto_agree,,Abdullah_AL lime
50uses,https://x.com/50uses,50 Uses For The Word Love Podcast,Comedian  @StephenTrumble  invites guests to chat about the varied multitudes of human feeling that in English all fall under the one umbrella term; Love.,"London, England",489.0,2753.0,396.0,January 2019,0,2,0,auto_agree,Comedian  @StephenTrumble  invites guests to chat about the varied multitudes of human feeling that in English all fall under the one umbrella term; Love.,50 Uses For The Word Love Podcast
a8484aviv,https://x.com/a8484aviv,אביב AVIV 🇮🇱,LIVE AND LET LIVE,ישראל,3028.0,7496.0,,June 2014,0,2,0,auto_agree,LIVE AND LET LIVE,Spring AVIV 🇮🇱
_starboy369,https://x.com/_starboy369,Starboy ⭐️,《دنیا همه هیچ و اهل دنیا همه هیچ، ای هیچ برای هیچ بر هیچ مپیچ》,Iran ☼𓃬,806.0,5214.0,3509.0,July 2022,1,1,1,auto_agree,"""The world is nothing and the people of the world are nothing, O nothing for nothing, do not turn to nothing""",Starboy ⭐️
aliam_es,https://x.com/aliam_es,ایی اِس,صبر   instagram.com/ecutfood/profi …,,4324.0,4447.0,1334.0,November 2021,1,2,1,auto_agree,Patience instagram.com/ecutfood/profi...,This is it
_infogirl,https://x.com/_infogirl,🌻hopeful wanderer🌻,"books, music, travel, nature, art",,59.0,665.0,290.0,November 2021,0,2,1,auto_agree,"books, music, travel, nature, art",🌻hopeful wanderer🌻
akumafeelings,https://x.com/akumafeelings,👹 AKUMA 👹,"eu minto muito bastante   (⁠◕⁠ᴗ⁠◕⁠✿⁠) mutual pra mim é irmã    ele/dele  filho do silêncio, da doença e da cura","Salvador, Brasil",5372.0,4139.0,1386.0,October 2016,0,2,1,auto_agree,"I lie a lot a lot (⁠◕⁠ᴗ⁠◕⁠✿⁠) mutual for me is his/her sister son of silence, illness and healing",👹 AKUMA 👹
alfirinmag52045,https://x.com/alfirinmag52045,Magol Alfirin,I AM ...,,1.0,30.0,0.0,December 2025,2,2,2,auto_agree,I AM ...,Magol Alfirin
aiyankarimi3312,https://x.com/aiyankarimi3312,A_K70,"When you are there, all doors open.",کرمانشاه,55.0,394.0,1300.0,April 2025,1,1,1,auto_agree,"When you are there, all doors open.",A_K70
alivrd,https://x.com/alivrd,Ali Vafaei Razdar,,,0.0,2.0,0.0,August 2025,0,2,1,auto_agree,,Ali Vafaei Razdar
alishiri272750,https://x.com/alishiri272750,Ali Shiri,,tehran,0.0,5.0,0.0,July 2025,1,2,1,auto_agree,,Ali Shiri
al3mlaa81,https://x.com/al3mlaa81,د/العملاق,د / العملاق ..,,,167.0,1386.0,November 2012,2,2,1,discussed,D/ Giant..,D/Giant
aishaabbas20560,https://x.com/aishaabbas20560,Abbass Aisha,,,59.0,703.0,0.0,March 2025,0,2,1,auto_agree,,Abbas Aisha
abhistoria,https://x.com/abhistoria,Ahab Bdaiwi איהאבּ ܐܝܗܐܒ,"Assistant Professor in Islamic Philosophy & History, Leiden University| Series Editor, Islamic Thought & History| Editor in Chief, Taḥqīq Journal, Brill.",Leiden/London,,937.0,4281.0,July 2017,0,2,1,auto_agree,"Assistant Professor in Islamic Philosophy & History, Leiden University| Series Editor, Islamic Thought & History| Editor in Chief, Taḥqīq Journal, Brill.",Ahab Bdaiwi איהאבּ ܐܝܗܐܒ
_dinken_,https://x.com/_dinken_,Ajmal Hussain A,It’s okay to get run over by a bus than never cross the road. I’m at least getting somewhere. Views and Opinions expressed are personal.,"Kollam, India",379.0,529.0,961.0,November 2012,0,2,1,auto_agree,It’s okay to get run over by a bus than never cross the road. I’m at least getting somewhere. Views and Opinions expressed are personal.,Ajmal Hussain A
alijan2056,https://x.com/alijan2056,Ali,,,8.0,73.0,4.0,November 2014,2,2,2,auto_agree,,Ali
addyperry20,https://x.com/addyperry20,LilyPerry,Okay but... I’m kinda close to stunning?  Come say hi in DMs.,where the vibes are,510.0,3722.0,1567.0,May 2025,2,2,2,auto_agree,Okay but... I’m kinda close to stunning?  Come say hi in DMs.,LilyPerry
_uselessgothdm,https://x.com/_uselessgothdm,Definitely Not a Mimic,@ useless_goth_thembo_ in Twitch chat | Avantris brainrot still going strong | D&D/RPG/TTRPG things | Maker and collector of many math rocks (dice) |,,19.0,124.0,36.0,June 2020,2,2,1,discussed,@ useless_goth_thembo_ in Twitch chat | Avantris brainrot still going strong | D&D/RPG/TTRPG things | Maker and collector of many math rocks (dice) |,Definitely Not a Mimic
ahmad76905530,https://x.com/ahmad76905530,ahmad,,,40.0,706.0,8.0,January 2023,2,2,2,auto_agree,,ahmad
am2002rmost,https://x.com/am2002rmost,Amir,,,14.0,252.0,0.0,March 2023,2,2,2,auto_agree,,Amir
_nam11,https://x.com/_nam11,Nathan,"@charltonlive  contributor  | Certified in  @FA  Talent ID &  @ThePFSA  Data Analytics, Oppo Scouting & Set-Pieces  | Living the dream",,4887.0,2796.0,,May 2010,0,2,0,auto_agree,"@charltonlive  contributor  | Certified in  @FA  Talent ID &  @ThePFSA  Data Analytics, Oppo Scouting & Set-Pieces  | Living the dream",Nathan
afkari_saeed,https://x.com/afkari_saeed,سعید افکاری,آزادی,,,78.0,1273.0,August 2020,2,2,1,auto_agree,freedom,Saeed Afkari
aliceparkny,https://x.com/aliceparkny,Alice Park,"Health and medicine (and occasional Olympics) national correspondent for  @TIME . Author of The Stem Cell Hope, How Stem Cell Medicine Can Change Our Lives.",New York NY,,469.0,4818.0,March 2009,0,2,1,auto_agree,"Health and medicine (and occasional Olympics) national correspondent for  @TIME . Author of The Stem Cell Hope, How Stem Cell Medicine Can Change Our Lives.",Alice Park
abkoga,https://x.com/abkoga,A.B. Koga,SFF Author on Submission | Agent  @BookFairyAngus  | Doctor Husband and Dance Dad | Jiu Jitsu | Retired Gamer | Dark Academia WIP,Scottsdale,643.0,633.0,1953.0,September 2022,0,2,1,auto_agree,SFF Author on Submission | Agent  @BookFairyAngus  | Doctor Husband and Dance Dad | Jiu Jitsu | Retired Gamer | Dark Academia WIP,A.B. Koga
_sgtslaughter,https://x.com/_sgtslaughter,SGT SLAUGHTER,"WWE Hall of Famer, WWE Ambassador & former World Heavyweight Champion. For bookings contact PVT Paul Incerto @ 203-256-0004.",,,107.0,6124.0,September 2010,0,2,1,auto_agree,"WWE Hall of Famer, WWE Ambassador & former World Heavyweight Champion. For bookings contact PVT Paul Incerto @ 203-256-0004.",SGT SLAUGHTER
aleaguewomen,https://x.com/aleaguewomen,Ninja A-League,"Official account of the Ninja A-League  Catch live game coverage, as well as news, ticketing and so much more here.",Australia,,2092.0,1356.0,August 2012,0,2,0,auto_agree,"Official account of the Ninja A-League  Catch live game coverage, as well as news, ticketing and so much more here.",Ninja A-League
_hannahritchie,https://x.com/_hannahritchie,Hannah Ritchie,Deputy Editor  @OurWorldinData  / Researcher at  @UniofOxford  / Honorary Fellow at  @EdinburghUni  @EdCentreCC  / Not the End of the World:  amzn.to/3MdaOci,"Edinburgh, UK",,1337.0,7978.0,July 2014,0,2,1,auto_agree,Deputy Editor  @OurWorldinData  / Researcher at  @UniofOxford  / Honorary Fellow at  @EdinburghUni  @EdCentreCC  / Not the End of the World:  amzn.to/3MdaOci,Hannah Ritchie
afterpay_au,https://x.com/afterpay_au,Afterpay,Don’t just pay later. #PayBetter Afterpay it in 4.,Australia,5939.0,521.0,964.0,July 2014,0,2,0,auto_agree,Don’t just pay later. #PayBetter Afterpay it in 4.,Afterpay
_sky_tw,https://x.com/_sky_tw,spinoss,,,1.0,19.0,0.0,January 2023,2,2,2,auto_agree,,spinoss
adnanime,https://x.com/adnanime,Animation Digital Network,"Evangelion, Utena, Sailor Moon... c'est Noël avant l'heure",Paris,,676.0,1315.0,September 2013,2,2,1,auto_agree,"Evangelion, Utena, Sailor Moon... it's Christmas before its time",Animation Digital Network
ahwazmedia,https://x.com/ahwazmedia,حسن راضي الأحوازي,مدير المركز الأحوازي للإعلام والدراسات الإستراتيجية/ باحث بالشان الايراني، معد ومقدم برنامج #ايران_زووم على قناة @سعودي24.. #الأحواز وطني,,5884.0,415.0,8467.0,April 2012,0,2,1,auto_agree,"Director of the Ahwazi Center for Media and Strategic Studies/researcher on Iranian affairs, preparer and presenter of the #Iran_Zoom program on @Saudi24 channel.. #Ahwaz is national",Hassan Radi Al-Ahwazi
allipayam,https://x.com/allipayam,Hani Allipayam,,,36.0,19.0,1.0,November 2017,2,2,2,discussed,,Hani Allipayam
ajbends,https://x.com/ajbends,big boy synthetique,@issues  //  @badwolves  // FEWDFWM //,"Pasadena, CA",,1286.0,1350.0,December 2011,0,2,1,auto_agree,@issues  //  @badwolves  // FEWDFWM //,big boy synthetique
alisaberi1987,https://x.com/alisaberi1987,Alex,All religions are human made. Be free of them. Keep your humanity up and spread out kindness.,"Paris, France",469.0,1634.0,633.0,October 2021,0,2,1,auto_agree,All religions are human made. Be free of them. Keep your humanity up and spread out kindness.,Alex
altaf_awan12,https://x.com/altaf_awan12,Altaf K Awan,"Consultant Pancreaticobiliary, Obesity, Laparoscopic and Robotic Surgeon, UHDBTrust. Director of Education - Laparoscopic & Robotic surgery, ALSGBI.","Derby, England",1054.0,451.0,1803.0,November 2018,0,2,1,auto_agree,"Consultant Pancreaticobiliary, Obesity, Laparoscopic and Robotic Surgeon, UHDBTrust. Director of Education - Laparoscopic & Robotic surgery, ALSGBI.",Altaf K Awan
aliansari84,https://x.com/aliansari84,Ali Ansari,"Ph.D. graduate in Materials Science and Engineering, Interested in batteriesand electrochemistry, Posts in Persian and in English, Notifications are off.","Prague, Czech Republic",742.0,1928.0,1334.0,December 2013,0,2,1,auto_agree,"Ph.D. graduate in Materials Science and Engineering, Interested in batteriesand electrochemistry, Posts in Persian and in English, Notifications are off.",Ali Ansari
alimotie1318,https://x.com/alimotie1318,Parsi,"lran, land of Aryans and Everlasting Kingdom",,160.0,753.0,4588.0,June 2025,2,2,2,auto_agree,"lran, land of Aryans and Everlasting Kingdom",Parsi
aesdigitallyart,https://x.com/aesdigitallyart,Aes Digitally Art Prints,"Greetings! I'm Serdar. I'm the founder of this small shop, born from the question: 'Why shouldn't everyone have easy access to striking art pieces?",Turkey,29.0,333.0,32.0,November 2025,2,2,0,auto_agree,"Greetings! I'm Serdar. I'm the founder of this small shop, born from the question: 'Why shouldn't everyone have easy access to striking art pieces?",Aes Digitally Art Prints
5thprisoner,https://x.com/5thprisoner,زندانی پنجم,پیش ما بیا خوش میگذره,,6351.0,265.0,,July 2016,2,2,1,auto_agree,"Come to us, have fun",The fifth prisoner
ali_koleini,https://x.com/ali_koleini,paper_jean,,Islamic Republic of Iran,89.0,0.0,339.0,June 2020,2,2,2,auto_agree,,paper_jean
ahmadrezae88890,https://x.com/ahmadrezae88890,ahmadreza emz,,,8.0,4.0,58.0,June 2024,2,2,2,auto_agree,,ahmadreza emz
_articlle_,https://x.com/_articlle_,お父さん,はむさんはこちら  @hamuppi_,,8556.0,803.0,780.0,August 2018,2,2,2,auto_agree,Click here for Hamuppi_,father
1dish4theroad,https://x.com/1dish4theroad,Aaron Vallance,'Friday Night Chicken' - due 2027!  Shortlisted for Jane Grigson Trust award 2025. My blog (shortlisted Guild Food Writers award '20 '21 '23).,"London, England",5435.0,3587.0,2327.0,May 2016,0,2,1,auto_agree,'Friday Night Chicken' - due 2027!  Shortlisted for Jane Grigson Trust award 2025. My blog (shortlisted Guild Food Writers award '20 '21 '23).,Aaron Vallance
alexvizorek,https://x.com/alexvizorek,Alex Vizorek,"Humoriste belge...(c'est déjà drôle comme locution, je crois) Sur scène surtout, sur  @RTLFrance  et  @telematin  parfois, ailleurs occasionnellement.",,,2657.0,1381.0,January 2010,0,2,1,auto_agree,"Belgian comedian...(it's already a funny phrase, I think) On stage especially, on @RTLFrance and @telematin sometimes, elsewhere occasionally.",Alex Vizorek
aicalliance_,https://x.com/aicalliance_,AICA - Australian Iranian Community Alliance,Group of passionate Iranian Australians committed to shedding light on the glaring violations of fundamental human rights perpetrated by the Islamic Republic.,Australia,80.0,67.0,272.0,June 2023,1,0,0,auto_agree,Group of passionate Iranian Australians committed to shedding light on the glaring violations of fundamental human rights perpetrated by the Islamic Republic.,AICA - Australian Iranian Community Alliance
ahlulbayt28,https://x.com/ahlulbayt28,خادمة الحُسين💚⚑,-أشهَدُ أنَ علياً وَليُ الله . -نِذَرت لخِدمَة حسين عمري . -السَلامُ على آلِ بَيتِ رَسولِ الله . -السَلامُ عَليكَ يا أبا عبدِالله الحُسَين.,حَيثُ الحُسَين وَ العَبَاس,,276.0,1318.0,July 2020,2,2,2,auto_agree,"-I bear witness that Ali is the guardian of God. -I vowed to serve Hussein Omri. -Peace be upon the family of the Messenger of God. -Peace be upon you, Abu Abdullah Al-Hussein.",Hussein's maid💚⚑
30nahejazi,https://x.com/30nahejazi,Sina Hejazi,Iranian singer,Islamic Republic of Iran,4400.0,16.0,297.0,April 2013,0,2,2,auto_agree,Iranian singer,Sina Hejazi
abdulsalamdoct,https://x.com/abdulsalamdoct,محمد المعمري,يمني يبحث عن وطن.!,اليمن,6.0,118.0,253.0,June 2025,2,2,2,auto_agree,A Yemeni looking for a homeland!,Muhammad Al-Maamari
ajplus,https://x.com/ajplus,AJ+,"AJ+ is a unique digital news and storytelling project promoting human rights and equality, holding power to account, and amplifying the voices of the powerless.","Washington, DC",,247.0,1357.0,February 2010,0,2,0,auto_agree,"AJ+ is a unique digital news and storytelling project promoting human rights and equality, holding power to account, and amplifying the voices of the powerless.",AJ+
110_m_ah_b,https://x.com/110_m_ah_b,A.B.110,,,0.0,7.0,3.0,October 2024,2,2,2,discussed,,A.B.110
32kennocha,https://x.com/32kennocha,Isis,Every moment is a fresh beginning.,"Buffalo, NY.",345.0,472.0,458.0,June 2013,2,2,2,auto_agree,Every moment is a fresh beginning.,Isis
abc7ny,https://x.com/abc7ny,Eyewitness News,"New York's #1 news, Channel 7 Eyewitness News. WABC-TV. Comments & photos shared here or using #abc7NY could be used on any ABC platforms.",New York City,,725.0,6158.0,October 2008,0,2,1,auto_agree,"New York's #1 news, Channel 7 Eyewitness News. WABC-TV. Comments & photos shared here or using #abc7NY could be used on any ABC platforms.",Eyewitness News
alexerventure,https://x.com/alexerventure,alexerventure,Entrepreneur,,446.0,6254.0,932.0,March 2008,0,2,2,auto_agree,Entrepreneur,alexerventure
agencecapa,https://x.com/agencecapa,CAPA,"Témoigner, décrypter, faire rêver, inventer : depuis plus de 30 ans, CAPA raconte le monde... avec un pas de côté. #CAPApresse #CAPAdrama  @CAPAcorporate","Paris, France",7920.0,612.0,5264.0,August 2009,0,2,0,auto_agree,"Testify, decipher, make people dream, invent: for more than 30 years, CAPA has been telling the world... with a side step. #CAPApresse #CAPAdrama @CAPAcorporate",CAPA
_rosemark,https://x.com/_rosemark,Wolfy,So Vrémant po Nice,,8.0,127.0,482.0,December 2019,2,2,2,auto_agree,From Vrémant to Nice,Wolfy
alanwake,https://x.com/alanwake,Alan Wake 2,"Alan Wake 2 out now on the Epic Games Store, PS5, and Xbox Series X|S. By  @remedygames , presented by  @EpicPublishing . Alan Wake Remastered available now.",Bright Falls,,16.0,1465.0,March 2009,0,2,0,auto_agree,"Alan Wake 2 out now on the Epic Games Store, PS5, and Xbox Series X|S. By  @remedygames , presented by  @EpicPublishing . Alan Wake Remastered available now.",Alan Wake 2
alcides,https://x.com/alcides,Alcides Fonseca,Typing types. Associate Professor at the University of Lisbon.,"Lisbon, Portugal",1893.0,2921.0,2203.0,April 2007,0,2,1,auto_agree,Typing types. Associate Professor at the University of Lisbon.,Alcides Fonseca
aliaref_,https://x.com/aliaref_,ali aref 🇮🇷,ما سر به سر فدایی دین محمدیم...ما را حسین خواند و به این لشکر آمدیم,,508.0,646.0,1334.0,April 2024,1,2,1,auto_agree,We are devoted to the religion of Muhammad... we were called Hussein and we came to this army,ali aref 🇮🇷
afghanlgbt,https://x.com/afghanlgbt,Afghan LGBT Organization (ALO),The first official organization for Afghan #LGBTQ+ people based in Czech Republic,Česká republika & Afghanistan,1190.0,401.0,216.0,June 2020,0,2,0,auto_agree,The first official organization for Afghan #LGBTQ+ people based in Czech Republic,Afghan LGBT Organization (ALO)
abasinfo,https://x.com/abasinfo,Abas Aslani | عباس اصلانی,عباس اصلانی | صفحه فارسی |خبرنگار و پژوهشگر در حوزه سیاست خارجی و بین‌الملل   | صفحه انگلیسی (English account):  @AbasAslani,تهران,1213.0,505.0,2528.0,July 2016,1,1,1,auto_agree,Abbas Aslani Farsi page | Journalist and researcher in the field of foreign and international politics | English account: @AbasAslani,Abbas Aslani Abbas Aslani
almghdmi,https://x.com/almghdmi,Ali,"Developer, Gamer",,119.0,235.0,,April 2022,0,2,1,auto_agree,"Developer, Gamer",Ali
abdolrezakahani,https://x.com/abdolrezakahani,Abdolreza Kahani,"Writer,Director,Producer //  agiff.arkgate.ca",,,299.0,247.0,June 2014,0,2,1,auto_agree,"Writer,Director,Producer //  agiff.arkgate.ca",Abdolreza Story
alanciwanc41267,https://x.com/alanciwanc41267,alanciwan ciwan,,,33.0,2281.0,1.0,January 2025,2,2,2,auto_agree,,young alanciwan
