username,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,comments
ahmedjoia15116,Ahmed kahlid Joia,,,37.0,500.0,14.0,June 2024,0,arabic spam bot
_ipesarekhob,پِسَرِ خوبْ,,,899.0,1056.0,3112.0,August 2022,1,persian personal account
alsynya1,أرض النفاق,,,220.0,1932.0,580.0,December 2021,0,arabic shia account
alastairmurra18,Alastair Murray,,,347.0,3178.0,154.0,March 2022,0,british-australian nationalist account
a9b9e3m1,Ali Erfani,,,1.0,83.0,0.0,May 2021,2,private account
aghdadaash,آق داداش,,,1.0,161.0,29.0,April 2022,2,private account
ajmalzamani4,Ajmal Zamani,,,6.0,256.0,5.0,August 2022,0,afghan spam account
_sihelvi,İbn Kusay el Kerhani,sex felsefesi etik iyi sikiş felsefesi oncul anal kusay aşığı,,16.0,73.0,119.0,August 2025,0,turkish troll account
13virginiawoolf,ویرجینیا وولف مناطق محروم,,El Dorado,4064.0,673.0,2320.0,November 2016,1,iranian activist toronto
abedimonfared1,"Reza Abedi, Psychology Expert",من یک ایرانی مسلمانم و به ایرانی‌بودن و مسلمان‌بودنم افتخار می‌کنم فالو = فالو بک در اسرع وقت,,1598.0,1688.0,2095.0,October 2021,1,iranian religious account
akramsharifi,akram sharifi,Journalist /Foreign Policy,"Tehran, Iran",0.0,1591.0,1386.0,January 2013,1,iranian journalist tehran
abbasi_j_5,عباسی ۴,مهندس برق_عمران/کارشناس رسمی دادگستری/کنشگر و فعال اجتماعی و صنفی/آرزومند ایرانی آباد، شاد و قدرتمند,,1280.0,4321.0,2241.0,December 2022,1,iranian engineer account
about_shaamim,Shamim,,,1722.0,114.0,339.0,September 2022,1,persian personal account
__shim__shim,Sh!m@,,NY,5769.0,523.0,0.0,September 2017,1,iranian in ny
akef1680,Akef,,,6.0,50.0,1261.0,August 2025,1,pro-regime account iran
ala_ti_ti,الا‌ تى‌تى,"Hello, I'm still here. All that's left of yesterday!",همه‌جا,2447.0,546.0,1400.0,October 2017,1,iranian in sydney
airwallex,Airwallex,Empowering modern businesses to grow beyond borders,"Melbourne, Victoria",9375.0,516.0,1755.0,December 2015,0,fintech company
alinaghi2018,AliNaghi,,,5675.0,1284.0,1150.0,March 2018,1,iranian opposition australia
alan1234454,ئالان,,,42.0,184.0,435.0,April 2024,1,iranian personal account
aliaydinfromaz,AliAydin,,,30.0,84.0,260.0,December 2024,0,pan-turkist azeri account
aanahelll,Atefeh,,,62.0,93.0,107.0,November 2022,1,iranian opposition account
aaaaaaav69,Sasasaa,,,51.0,245.0,405.0,September 2024,0,tech crypto account
aghmamrez,آق‌ممرض,در آغوش کسشر برای دست‌به‌سرکردن اندوه,,3095.0,335.0,1307.0,October 2013,1,persian poetic account
abubakarnu55384,Nura Abubakar,,,14.0,77.0,116.0,February 2025,0,nigerian crypto account
ahmadisaye35320,sayed Ahmadi,,,80.0,304.0,1615.0,March 2025,0,pashtun afghan account
ahangar_fa44154,fufu,,Mazandaran,9.0,49.0,507.0,September 2025,1,iranian personal account
_garrulus,Garrulus,,,112.0,475.0,654.0,July 2025,2,private account
_hasanbro,Hasan Bro,Muslim,,94.0,249.0,173.0,October 2025,2,suspended account
abedini_farzane,Farzane Abedini,,,79.0,177.0,3931.0,January 2023,1,iranian no content
2025_samuel,Dr . Samuel 2025 Samuel arockiasamy (Sam),,,50.0,786.0,19.0,November 2025,0,indian account
almww10,almomo,,,19.0,776.0,9.0,October 2025,2,private account
ali_damghani_84,Alireza Damghani,دانشجوی علوم سیاسی دانشگاه تهران| Student of political science in UT| عضوی از خانواده حزب‌الله؛ یه جادی... از دیار امام رئوف(ع),,14.0,313.0,7.0,November 2024,1,pro-regime student tehran
ahlulbayt__313,Ahlul•Bayt ♡ 📚,Student of Ahlulbayt (A.S)   This Page Is For All tiktok.com/@the_great_muh …,,8520.0,5043.0,2370.0,October 2016,0,shia religious account
ahmadsamadi1974,Ahmad Samadi,"Senior Journalist  @IranInternational  TV  iranintl.com/en  @IranIntl_En  interested in EU, Germany, international&Iran affaires, Iaea, Iran nuclear",,5188.0,973.0,1979.0,February 2020,1,iran international journalist
ahali73975790a,Şahəli,,Azerbaijan,23.0,107.0,19.0,March 2020,0,azerbaijani nationalist account
akbar50847775,Akbar,,,8.0,64.0,34.0,April 2020,1,iranian opposition account
_fatemeramezani,فاطم‌ه,,,9.0,24.0,540.0,March 2021,1,iranian opposition account
acovertcovfefe,The Doctor,"…and then, as the tale goes, there was a Question. The Oldest Question in the Universe: Who are you when there is No Grey Area?",United States,176.0,592.0,2790.0,January 2025,2,account not found
abidiparisa,Parisa Abidi,#Transgender #animal lover #Rebel #worker #Atheist #communist #Revolution,"Vancouver, British Columbia",1.0,0.0,5.0,January 2018,1,iranian activist vancouver
31siye6,しろ,,,25.0,45.0,4406.0,October 2021,2,account not found
adadpay,Ali Dadpay,Economist & Educator | A man who makes sense of the world through data and ideas Alum:  @UWM  |  @Virginia_Tech  | Sharif Univ. | Niavaran,"Texas, USA",756.0,463.0,1434.0,August 2024,1,iranian-american economist
a_f_cebeci,Ali Fuat Cebeci,konu vatansa gerisi teferruat,Türkiye,9013.0,5337.0,0.0,May 2021,0,turkish political account
alahwazireza,Alahwazi Ridha,,"Wien, Österreich",389.0,397.0,665.0,February 2017,1,ahwazi separatist vienna
alex99889,alex,,iran,750.0,7499.0,3214.0,July 2019,2,private account
aditya_shrinath,Aditya Shrinath,,"Jaipur, India",12.0,76.0,109.0,July 2019,0,indian consumer account
alyamaniyeen,313اليماني515,,"Georgia, USA",77.0,989.0,1686.0,February 2024,0,yemeni houthi account
adamant_85,AdamAnt,Up yours!,United States,32.0,304.0,1028.0,October 2025,0,american conspiracy account
akram1445449,Akram,,,71.0,2043.0,14.0,January 2025,0,arabic spam account
1983ms13,Monkey,,"Dubai, United Arab Emirates",226.0,1945.0,2327.0,June 2024,1,iranian opposition dubai
alisajed465625,ALI SAJED,,,304.0,956.0,77.0,September 2025,2,suspended account
aleahmikul20525,Princess Queen Aalieyaah Aleah Alal,,,116.0,1678.0,59.0,December 2023,0,yezidi cultural account
alrfat13271,احمد صالح,,,362.0,5657.0,5.0,October 2023,0,arabic personal account
alihashemi78849,ali hshemi,,,324.0,3386.0,639.0,April 2025,1,iranian no content
acharya_pa1,Pawan Acharya,Postdoctoral Scholar at UAB,,334.0,639.0,71.0,March 2012,0,indian academic account
ahmedabdal94,Ahmedabdalmohsen,لَنَا حَقٌّ فَإِن أُعْطِينَاهُ وَإِلَّا رَكِبْنَا أَعجَازَ الإِبِلِ وَإِن طَالَ السُّرَى الإمام علي ع,,4.0,276.0,4.0,November 2025,0,bahraini shia account
aghatac8,Aghata,"Art, skin and attitude   Each image tells a story...  Do you dare to see it completely?",,0.0,13.0,13.0,December 2025,0,cam model account
35pmrc4xezu0tvd,Максат,,,0.0,4.0,6.0,July 2019,0,kazakh account
alikalhamadi,Ali Al-Hamadi,,,0.0,27.0,249.0,May 2018,2,account not found
aarabisaeid,Saeid Aarabi,,,0.0,25.0,66.0,July 2025,1,iranian reformist account
